sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2002","2002",139,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2003","2003",139.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2004","2004",138.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2005","2005",139,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2006","2006",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2007","2007",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2008","2008",144.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2009","2009",142.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2010","2010",144.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2011","2011",145.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2012","2012",144.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2013","2013",141.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2000","2000",141.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2001","2001",142.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2002","2002",146.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2003","2003",147,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2004","2004",148.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2005","2005",149.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2006","2006",148.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2007","2007",149.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2008","2008",152.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2009","2009",153.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2010","2010",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2011","2011",153.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2012","2012",148.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","GRC","Greece","2013","2013",146.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2000","2000",134.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2001","2001",129.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2002","2002",136,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2003","2003",129.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2004","2004",133.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2005","2005",138.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2006","2006",139.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2007","2007",139.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2008","2008",139.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2009","2009",136.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2010","2010",136.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2011","2011",136,,
